tv_budget_k,digital_budget_k,discount_rate,inventory_index,store_tier,weekly_sales
152.24071336947353,148.97913445596737,0.08774740059644098,940.6461678963594,standard,91121.0414555662
188.41999492383962,147.5360752287703,0.048425025256726345,616.8933839607448,premium,113035.81830535515
113.6285777640327,84.40047810894932,0.05122053072976529,883.4001912227429,standard,104191.35900949563
228.8520098538043,190.87121906381296,0.22606293532939267,799.9605087451121,flagship,114699.91740978375
202.34031593248753,178.292470244487,0.2400905528908831,768.8314219846112,standard,102995.94589062194
169.77833801732228,132.0056787776576,0.25015939280747634,830.0171192095872,standard,73877.41478411855
169.08177351334385,131.4522467785364,0.21859762392003093,933.0519322981994,standard,84210.14818033404
190.63423787225844,162.3693843905747,0.2535071249378563,942.0188654154417,standard,100312.18955725014
170.6318894228481,122.81077533266466,0.26190046335534256,755.4487983158365,flagship,94459.82539965614
172.09318985928752,131.84538829608346,0.1642907371753858,795.330448494114,,105466.96576920208
205.20237370031896,158.2071248357729,0.1880647560586293,691.0856370085951,premium,108279.05180903725
198.01468220208196,157.16002816005232,0.26835942303746024,600.7751754424031,premium,96701.66857486952
177.7555222528036,144.0523314480094,0.15854956355892685,1636.4895426387445,premium,107560.48558723048
177.00832028849484,167.27732376503727,0.09018642377305189,655.412060927836,flagship,128396.23769134545
185.63207129329757,163.10662954044406,0.2646545363228322,709.7049481718085,flagship,103118.47034733876
158.5093561918383,130.24645066505434,0.042669138175104954,876.910628705653,standard,110948.53614747511
165.86874073703032,133.31594471476222,0.1758366082636596,617.8463220450701,premium,94223.40402176564
199.18910630722462,173.82728235896073,0.2623640704936095,892.0143607894146,standard,98615.57979496819
175.43310224006976,148.99594298262735,0.21609061192280943,693.4380224119327,standard,82332.38407738114
131.89508385131467,118.84847623329387,0.18137041021101055,649.5355744089456,standard,64454.718978351215
163.29524481283775,150.47380169078627,0.1516092815494355,732.8998992535703,premium,99168.79844296938
202.9817561852738,154.3468211737186,0.0981426373309788,692.3417525601002,standard,108097.71193685195
171.87010297708528,113.899224935344,0.17083389067391125,855.4084266597324,premium,95626.74275552122
174.7943516417287,143.06973841554415,0.2146461475281282,1032.7202510936654,premium,107360.42603988797
202.46428198599335,166.97424766658477,0.17030343072859705,921.1086546450725,,113416.92615809337
243.86136067204023,203.4076620582692,0.2215979976444716,889.7409185237519,flagship,116247.55482973311
155.03839648460993,119.94559993844537,0.2717788795710451,727.7029600147936,standard,66755.93383990787
227.18723847019342,183.5020921890305,0.18985453300776686,783.8301709707922,premium,121344.61785620102
136.94955286310488,119.00347371955768,0.20696952324684798,833.855131022485,standard,76165.34095630031
186.1242167959131,159.97255929393222,0.24232114682036793,808.6184274275673,premium,100985.24307198783
139.0664668170665,130.00624890455447,0.16829205766831132,838.6897834196512,standard,77136.43274285125
227.30103645764655,160.39149692630943,0.10208744202757616,636.7315775293323,standard,104396.16863886043
209.18730488513881,151.74968817593262,0.22837356699197087,1080.9122425088156,flagship,115974.46831568639
395.67615743326934,197.79576610627032,0.23620783809514623,614.3829106229962,flagship,123827.02146865892
149.00633959055764,129.48358091513316,0.2749682225658518,792.2552127548398,premium,78029.40506267724
203.95942589196574,176.76794775277432,0.03529812149180761,937.9757432467894,standard,109273.45247279052
161.8345334559676,129.28630358354866,0.1567577479222506,701.8253005850629,standard,90609.40614441234
163.99151410968202,128.78317685387753,0.04531012312736585,971.0378002469643,standard,107315.710240214
197.72879777895557,164.53525902817347,0.15407138138445747,601.6506909963357,standard,97311.93389051761
210.68513603640474,161.4843614600548,0.14936307851836853,701.6166551154062,standard,114397.26302573743
187.15470753918817,135.10491993712742,0.08494240593182167,460.26798242626614,standard,85009.74566398375
158.02045146462905,116.24993128290038,0.2797951991829568,967.7688196946658,standard,75161.8553357275
151.09642176909466,125.29738004810315,0.2157088675231369,,standard,81446.6873320549
230.55109590388315,196.69819411675638,0.1265204980493083,708.3950514883829,flagship,122049.35663191529
200.78810687493038,184.46135984602944,0.2287166492359597,,premium,112809.6345679279
205.19047777499372,172.71804840481025,0.09170375035787581,,premium,120855.34550751884
256.4220849949491,215.93631377827418,0.10113732373493767,971.0409342067067,premium,135471.43219939593
